unit_id,domain,concept,difficulty,prerequisites,reference_answer,near_transfer_answer,transfer_answer,misconception_answer,misconception,correctness,coverage
be_001,managerial_accounting,break_even_quantity,2,,6000.0,9000.0,80.0,2400.0,"dividing fixed costs by the selling price instead of by the contribution margin, i.e. ignoring the variable cost of each unit",1.0,
be_002,managerial_accounting,break_even_quantity,2,,480.0,720.0,11.0,300.0,"dividing fixed costs by the selling price instead of by the contribution margin, ignoring what each unit costs to produce",1.0,
cac_001,marketing_analytics,cac_payback,2,customer_lifetime_value,4.5,3.6,480.0,2.7,"measuring how long a customer takes to repay the acquisition cost out of the revenue they pay, instead of out of the gross margin the company actually keeps",1.0,
cac_002,marketing_analytics,cac_payback,2,customer_lifetime_value,4.8,3.2,500.0,2.4,measuring how long a customer takes to repay the acquisition cost out of the revenue they pay rather than out of the gross margin the company keeps,1.0,
cm_001,managerial_accounting,contribution_margin_ratio,2,break_even_quantity,420000.0,600000.0,32000.0,630000.0,"dividing the fixed costs by the variable cost ratio instead of by the contribution margin ratio, i.e. using the share of revenue that is consumed rather than the share that is left",1.0,
cm_002,managerial_accounting,contribution_margin_ratio,2,break_even_quantity,384000.0,480000.0,60000.0,230400.0,"dividing the fixed costs by the variable cost ratio rather than by the contribution margin ratio, using the share of revenue that is consumed instead of the share that is left",1.0,
dol_001,managerial_accounting,operating_leverage,3,break_even_quantity,2.5,0.25,4.0,0.4,"inverting the ratio and dividing operating profit by contribution, which reports the profit margin on contribution instead of how sensitive profit is to sales",1.0,
dol_002,managerial_accounting,operating_leverage,3,break_even_quantity,3.2,0.48,3.0,0.3125,"inverting the ratio and dividing operating profit by contribution, which measures a margin rather than the sensitivity of profit to sales",1.0,
ltv_001,marketing_analytics,customer_lifetime_value,3,,900.0,1500.0,300.0,1200.0,"building lifetime value on the revenue a customer pays rather than on the gross margin the company keeps, which overstates the value by the whole cost of serving the customer",1.0,
ltv_002,marketing_analytics,customer_lifetime_value,3,,600.0,960.0,350.0,1000.0,"building lifetime value on the revenue a customer pays rather than the gross margin the company keeps, which credits the customer with the cost of serving them",1.0,
mix_001,managerial_accounting,multi_product_break_even,4,break_even_quantity,6000.0,4500.0,35.0,7000.0,"averaging the two contribution margins without weighting them by how many of each product is sold, which ignores the sales mix",1.0,
mix_002,managerial_accounting,multi_product_break_even,4,break_even_quantity,18000.0,6000.0,14.0,15000.0,"taking a plain average of the contribution margins instead of weighting them by the sales mix, which misstates what an average sale contributes",1.0,
mkp_001,pricing,markup_vs_margin,2,,85.0,90.0,81.0,71.4,"setting the price by adding the target margin percentage to the cost, which applies the percentage to the cost instead of to the selling price",1.0,
mkp_002,pricing,markup_vs_margin,2,,120.0,168.0,0.2,109.2,"reaching a target margin by adding that percentage to the cost, which applies it to the cost rather than to the selling price",1.0,
mos_001,managerial_accounting,margin_of_safety,2,break_even_quantity,0.375,7500.0,600000.0,0.6,"expressing the margin of safety as a share of break-even sales rather than of budgeted sales, which overstates the cushion",1.0,
mos_002,managerial_accounting,margin_of_safety,2,break_even_quantity,0.2,1000.0,800000.0,0.25,"dividing the cushion by break-even sales instead of by budgeted sales, which compares the headroom with the wrong base and overstates it",1.0,
npv_001,corporate_finance,net_present_value,3,,10000.0,-20000.0,36000.0,44000.0,"adding the cash flows of different years together before discounting, so that later money is treated as worth the same as earlier money",1.0,
npv_002,corporate_finance,net_present_value,3,,5000.0,-10000.0,28800.0,22000.0,"adding cash flows from different years together before discounting, so money that has not arrived yet is valued as though it had",1.0,
pbp_001,corporate_finance,payback_period,1,,3.75,2.75,24000.0,6.0,"computing the payback period from accounting profit rather than from cash flow, which double-counts depreciation because depreciation is not a cash payment",1.0,
pbp_002,corporate_finance,payback_period,1,,3.5,2.9,36000.0,6.0,"computing payback from accounting profit rather than from cash flow, which deducts depreciation and so counts the cost of the asset twice",1.0,
pel_001,pricing,price_elasticity,3,markup_vs_margin,0.8,0.08,-0.05,200.0,"dividing the change in quantity by the change in price without turning either into a percentage, which produces a number that depends on the units rather than on the responsiveness",1.0,
pel_002,pricing,price_elasticity,3,markup_vs_margin,1.5,0.15,0.04,75.0,"dividing the raw change in quantity by the raw change in price instead of comparing two percentage changes, giving a figure that depends on the units used",1.0,
roi_001,corporate_finance,return_on_investment,2,,0.25,0.125,1.5,1.25,"reporting the total received divided by the amount invested, which is the money multiple and counts the original stake as though it were profit",1.0,
roi_002,corporate_finance,return_on_investment,2,,0.6,0.2,350000.0,1.6,"dividing the total received by the amount invested, which reports a money multiple and counts the returned stake as gain",1.0,
spo_001,managerial_accounting,relevant_cost,3,contribution_margin_ratio,45000.0,25.0,4440.0,-5000.0,"charging allocated fixed overhead to a special order even though that overhead is incurred anyway, which makes a profitable order look like a loss",1.0,
spo_002,managerial_accounting,relevant_cost,3,contribution_margin_ratio,13000.0,27000.0,168.0,1000.0,"charging allocated overhead to a one-off job even though the same total is incurred whether or not the job is taken, which makes profitable work look unprofitable",1.0,
tp_001,managerial_accounting,target_profit_after_tax,3,break_even_quantity,11500.0,208000.0,76.0,10700.0,"adding the after-tax profit target straight to the fixed costs, without grossing it up to the pre-tax profit the company must earn first",1.0,
tp_002,managerial_accounting,target_profit_after_tax,3,break_even_quantity,650.0,76800.0,330.0,600.0,adding the after-tax profit target to the fixed costs without first grossing it up to the pre-tax profit that produces it,1.0,
wac_001,corporate_finance,wacc,4,net_present_value,0.087,0.0705,0.14,0.085,"taking a simple average of the cost of equity and the cost of debt, which ignores how much of each the company actually uses and ignores the tax deductibility of interest",1.0,
wac_002,corporate_finance,wacc,4,net_present_value,0.105,0.075,0.165,0.1,"averaging the cost of equity and the cost of debt without weighting them by how much of each the company uses, and without the tax shield on interest",1.0,
